tid,label,time,space
195006,4,0,139.9 15.6
195006,4,6,138.9 15.7
195006,4,12,137.7 15.7
195006,4,18,136.6 15.8
195006,4,24,135.5 15.9
195006,4,30,134.5 16.1
195006,4,36,133.1 16.6
195006,4,42,131.7 17.3
195006,4,48,130.6 18.1
195006,4,54,129.8 18.9
195006,4,60,129.2 19.5
195006,4,66,128.7 19.9
195006,4,72,128.2 20.2
195006,4,78,127.7 20.5
195006,4,84,127 21
195006,4,90,126.3 21.4
195006,4,96,125.7 21.8
195006,4,102,125.3 22
195006,4,108,124.9 22.2
195006,4,114,124.6 22.4
195006,4,120,124.3 22.5
195006,4,126,123.8 22.7
195006,4,132,123.1 22.8
195006,4,138,122.4 23.1
195006,4,144,121.7 23.5
195006,4,150,121 24
195006,4,156,120.6 24.6
195006,4,162,120.3 25.5
195006,4,168,120.2 26.6
195006,4,174,120.3 28.3
195006,4,180,120.9 30.6
195006,4,186,122.3 33
195006,4,192,124.1 35
195006,4,198,126.3 36.8
195006,4,204,128.8 38.2
195006,4,210,131.5 39.3
195006,4,216,137.2 41.9
195103,4,0,134.3 12.2
195103,4,6,133.8 12.3
195103,4,12,133.2 12.4
195103,4,18,132.5 12.6
195103,4,24,131.6 12.8
195103,4,30,130.8 13
195103,4,36,130.1 13.2
195103,4,42,129.4 13.4
195103,4,48,128.7 13.6
195103,4,54,127.8 13.8
195103,4,60,126.5 14
195103,4,66,124.7 14.3
195103,4,72,122.8 14.6
195103,4,78,121 14.9
195103,4,84,119.3 15.2
195103,4,90,117.5 15.4
195103,4,96,115.2 15.7
195103,4,102,113 16
195103,4,108,111.3 16.1
195103,4,114,109.7 16.2
195103,4,120,107.9 16.4
195103,4,126,106.1 16.8
195103,4,132,104.3 17.4
195103,4,138,102.6 18.1
195103,4,144,101.1 18.2
195103,4,150,99.5 18.2
195103,4,156,98.3 18.5
195103,4,162,96.9 19
195103,4,168,95.9 19.3
195103,4,174,95 19.5
195103,4,180,93.9 19.8
195103,4,186,92.8 20.2
195103,4,192,91.6 20.6
195103,4,198,90.3 21.1
195103,4,204,89.1 21.4
195103,4,210,88 21.6
195103,4,216,87 21.6
195103,4,222,86.2 21.6
195103,4,228,85.7 21.6
