time,lat,lon,tid,label
0.0,50.1066,3.79665,1,D
4.39,50.1045,3.79455,1,D
7.9,50.1111,3.79845,1,D
9.62,50.1072,3.79845,1,D
15.09,50.1132,3.79965,1,D
20.44,50.1087,3.79905,1,D
44.77,50.1114,3.79965,1,D
48.34,50.1087,3.79935,1,D
57.09,50.1063,3.80085,1,D
58.86,50.1096,3.80265,1,D
60.7,50.106,3.80505,1,D
67.92,50.124,3.80205,1,D
69.67,50.1258,3.79695,1,D
71.43,50.1309,3.79515,1,D
73.15,50.1306,3.79545,1,D
74.89,50.1138,3.79185,1,D
80.15,50.1144,3.79275,1,D
81.85,50.1162,3.79665,1,D
83.6,50.1153,3.79575,1,D
87.23,50.1156,3.79455,1,D
89.06,50.1156,3.79455,1,D
97.85,50.1048,3.79965,1,D
99.65,50.1042,3.79875,1,D
104.38,50.1045,3.80235,1,D
115.21,50.1084,3.79995,1,D
128.96,50.1135,3.80595,1,D
130.71,50.1132,3.80475,1,D
145.03,50.1084,3.80205,1,D
148.66,50.1075,3.80505,1,D
152.11,50.1054,3.80085,1,D
155.59,50.1054,3.80355,1,D
159.28,50.109,3.80265,1,D
162.81,50.1165,3.80415,1,D
185.64,50.1207,3.80115,1,D
189.15,50.136,3.79395,1,D
192.67,50.1351,3.79905,1,D
199.73,50.1333,3.79875,1,D
201.45,50.1159,3.79695,1,D
221.13,50.1066,3.79695,1,D
222.86,50.1072,3.79875,1,D
224.57,50.1066,3.79905,1,D
226.26,50.1099,3.80205,1,D
235.33,50.1066,3.80205,1,D
247.48,50.1069,3.80115,1,D
250.92,50.1072,3.80475,1,D
254.61,50.1078,3.80205,1,D
258.21,50.1048,3.80145,1,D
261.7,50.106,3.79905,1,D
268.87,50.1009,3.79695,1,D
313.27,50.1096,3.79545,1,D
320.23,50.1267,3.80295,1,D
321.86,50.1279,3.80565,1,D
327.3,50.1267,3.80385,1,D
330.82,50.1066,3.79605,1,D
332.57,50.1051,3.79725,1,D
340.42,50.1069,3.80265,1,D
343.8,50.1108,3.80295,1,D
345.44,50.1108,3.80325,1,D
357.85,50.1177,3.80385,1,D
366.6,50.1162,3.80475,1,D
384.28,50.1216,3.80325,1,D
394.77,50.1231,3.80385,1,D
414.47,50.1105,3.80025,1,D
416.09,50.1129,3.80415,1,D
417.77,50.1153,3.80295,1,D
425.14,50.1279,3.80505,1,D
426.88,50.1306,3.80805,1,D
428.66,50.1297,3.80145,1,D
430.43,50.1297,3.80235,1,D
435.58,50.1273,3.80085,1,D
437.8,50.1138,3.79605,1,D
439.73,50.1159,3.79335,1,D
454.54,50.1132,3.78795,1,D
458.28,50.1081,3.78525,1,D
460.19,50.1057,3.78795,1,D
467.59,50.1153,3.79365,1,D
471.94,50.1132,3.80535,1,D
477.62,50.1129,3.80175,1,D
479.53,50.1132,3.80115,1,D
481.94,50.1132,3.80085,1,D
485.91,50.1129,3.80175,1,D
487.75,50.1096,3.80055,1,D
491.42,50.1135,3.80175,1,D
499.59,50.1126,3.80175,1,D
505.56,50.1048,3.79695,1,D
508.07,50.1051,3.79695,1,D
510.05,50.103,3.79815,1,D
513.75,50.1069,3.80085,1,D
515.65,50.1081,3.80265,1,D
517.78,50.1066,3.80355,1,D
521.88,50.1066,3.80145,1,D
525.67,50.1039,3.79665,1,D
527.59,50.1039,3.79575,1,D
529.56,50.1048,3.79665,1,D
531.51,50.1093,3.78795,1,D
535.33,50.1108,3.79095,1,D
537.16,50.1123,3.79245,1,D
539.08,50.1129,3.79455,1,D
545.52,50.1123,3.80265,1,D
547.44,50.1087,3.79455,1,D
549.32,50.1138,3.79185,1,D
551.29,50.1135,3.79245,1,D
553.23,50.1138,3.79275,1,D
555.3,50.1135,3.79215,1,D
557.32,50.1135,3.79215,1,D
564.93,50.1075,3.79395,1,D
569.15,50.1072,3.79845,1,D
571.02,50.109,3.79905,1,D
572.92,50.109,3.79485,1,D
574.83,50.1081,3.79545,1,D
578.83,50.1081,3.79545,1,D
580.82,50.1078,3.79545,1,D
582.78,50.1105,3.79755,1,D
584.66,50.1114,3.79755,1,D
586.51,50.1105,3.79965,1,D
588.55,50.1135,3.79935,1,D
594.65,50.1108,3.79575,1,D
596.59,50.1144,3.79155,1,D
600.55,50.1141,3.79455,1,D
603.68,50.1135,3.79215,1,D
605.74,50.1138,3.79275,1,D
607.65,50.1135,3.79395,1,D
611.45,50.1123,3.79275,1,D
613.58,50.1117,3.79725,1,D
615.78,50.1123,3.80025,1,D
617.77,50.1141,3.79725,1,D
621.67,50.1147,3.79095,1,D
623.67,50.1144,3.79155,1,D
627.73,50.1138,3.79275,1,D
631.72,50.1126,3.79395,1,D
633.63,50.1132,3.79485,1,D
642.1,50.1129,3.80145,1,D
644.04,50.1078,3.79695,1,D
648.0,50.1072,3.79575,1,D
650.01,50.1081,3.79515,1,D
651.99,50.1084,3.79365,1,D
654.04,50.109,3.79635,1,D
655.98,50.1096,3.79755,1,D
657.82,50.1099,3.79965,1,D
662.08,50.106,3.79485,1,D
